Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
20/12/06,25394.68945,10.8285,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
21/12/06,25546.82031,10.861,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
22/12/06,25432.64063,10.81,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
25/12/06,null,10.81,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
26/12/06,25705.03906,10.8758,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
27/12/06,26196.66016,10.8905,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
28/12/06,26295.21094,10.85,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
29/12/06,26448.32031,10.75,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
01/01/07,26448.32031,10.803,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
02/01/07,26664.44922,10.7605,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
03/01/07,26619.36914,10.83,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
04/01/07,26566.2793,10.865,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
05/01/07,26135.59961,10.912,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
08/01/07,26281.64063,10.9393,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
09/01/07,25783.03906,11.002,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
10/01/07,25885.80078,10.9685,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
11/01/07,26247.90039,10.998,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
12/01/07,26324.38086,10.93,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
15/01/07,26480.0293,10.9603,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
16/01/07,26480.33008,10.9519,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
17/01/07,26558.5,10.9418,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
18/01/07,26112.86914,10.9177,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
